Frame 26,25.493,25.267,25.103,24.864,24.65,24.473,24.308,24.092,23.965,23.863,23.787,23.749,23.672,23.596,23.532,23.468,23.455,23.443,23.417,23.366,23.353,23.328,23.328,23.34,23.366,23.366,23.392,23.404,23.404,23.392,23.379,23.379,23.417,23.468,23.519,23.532,23.519,23.532,23.558,23.583,23.609,23.621,23.634,23.647,23.66,23.685,23.698,23.723,23.736,23.749,23.749,23.749,23.762,23.762,23.762,23.774,23.787,23.787,23.812,23.825,23.825,23.838,23.838,23.838,23.825,23.812,23.825,23.851,23.863,23.863,23.851,23.838,23.812,23.787,23.774,23.787
Frame 27,25.518,25.267,25.129,24.852,24.662,24.51,24.346,24.118,23.991,23.863,23.787,23.762,23.711,23.634,23.583,23.494,23.468,23.443,23.43,23.366,23.353,23.328,23.34,23.353,23.366,23.379,23.392,23.404,23.404,23.404,23.392,23.392,23.417,23.455,23.494,23.507,23.519,23.532,23.558,23.583,23.621,23.634,23.634,23.647,23.672,23.698,23.711,23.736,23.749,23.749,23.762,23.762,23.762,23.762,23.774,23.8,23.812,23.825,23.838,23.838,23.838,23.838,23.838,23.838,23.825,23.825,23.825,23.838,23.851,23.863,23.838,23.825,23.8,23.8,23.774,23.787
Frame 28,25.543,25.33,25.166,24.889,24.687,24.548,24.371,24.118,24.003,23.876,23.8,23.762,23.685,23.596,23.532,23.468,23.468,23.443,23.43,23.379,23.34,23.328,23.315,23.328,23.353,23.366,23.379,23.404,23.392,23.392,23.366,23.366,23.404,23.455,23.494,23.507,23.519,23.519,23.545,23.57,23.596,23.621,23.634,23.647,23.66,23.672,23.685,23.698,23.711,23.723,23.736,23.749,23.749,23.762,23.774,23.787,23.787,23.787,23.787,23.812,23.825,23.825,23.825,23.825,23.812,23.787,23.787,23.8,23.8,23.812,23.8,23.787,23.774,23.762,23.749,23.774
Frame 29,25.543,25.355,25.191,24.902,24.687,24.523,24.346,24.13,24.029,23.902,23.8,23.762,23.672,23.596,23.532,23.468,23.455,23.43,23.417,23.379,23.366,23.34,23.34,23.353,23.366,23.379,23.392,23.417,23.417,23.417,23.404,23.417,23.443,23.481,23.519,23.519,23.507,23.519,23.532,23.558,23.596,23.609,23.621,23.634,23.66,23.672,23.685,23.711,23.723,23.723,23.723,23.736,23.736,23.749,23.774,23.787,23.787,23.787,23.8,23.812,23.812,23.825,23.825,23.825,23.812,23.787,23.787,23.8,23.812,23.825,23.812,23.787,23.762,23.749,23.736,23.749
Frame 30,25.606,25.43,25.229,24.952,24.738,24.586,24.409,24.168,24.054,23.914,23.825,23.774,23.685,23.609,23.532,23.481,23.455,23.443,23.43,23.379,23.366,23.353,23.34,23.353,23.366,23.366,23.379,23.392,23.392,23.392,23.392,23.404,23.443,23.481,23.519,23.519,23.507,23.507,23.519,23.545,23.583,23.596,23.609,23.621,23.647,23.66,23.698,23.723,23.736,23.736,23.736,23.736,23.749,23.762,23.774,23.774,23.787,23.787,23.8,23.812,23.812,23.812,23.812,23.8,23.787,23.774,23.774,23.787,23.812,23.825,23.812,23.8,23.787,23.774,23.762,23.774
Frame 31,25.618,25.405,25.204,24.952,24.763,24.612,24.435,24.181,24.029,23.902,23.812,23.762,23.672,23.596,23.519,23.468,23.455,23.417,23.404,23.379,23.366,23.34,23.34,23.34,23.353,23.353,23.379,23.392,23.392,23.404,23.379,23.392,23.43,23.468,23.507,23.532,23.519,23.519,23.532,23.558,23.596,23.609,23.609,23.621,23.647,23.66,23.685,23.711,23.723,23.711,23.711,23.723,23.723,23.736,23.749,23.762,23.774,23.774,23.787,23.8,23.8,23.812,23.812,23.812,23.812,23.8,23.8,23.8,23.8,23.812,23.8,23.8,23.787,23.762,23.749,23.762
Frame 32,25.656,25.468,25.292,24.978,24.788,24.662,24.485,24.257,24.105,23.952,23.838,23.787,23.698,23.621,23.558,23.519,23.507,23.481,23.468,23.417,23.404,23.379,23.379,23.379,23.392,23.392,23.404,23.417,23.43,23.417,23.417,23.43,23.468,23.507,23.532,23.558,23.558,23.558,23.57,23.583,23.609,23.634,23.647,23.66,23.672,23.685,23.711,23.736,23.749,23.749,23.762,23.774,23.774,23.787,23.8,23.812,23.825,23.825,23.851,23.851,23.851,23.838,23.838,23.838,23.812,23.787,23.787,23.8,23.812,23.838,23.838,23.838,23.812,23.8,23.774,23.787
Frame 33,25.706,25.518,25.305,25.028,24.801,24.662,24.536,24.27,24.143,23.991,23.902,23.838,23.749,23.66,23.583,23.532,23.507,23.481,23.455,23.43,23.404,23.392,23.379,23.379,23.392,23.392,23.417,23.43,23.417,23.417,23.417,23.43,23.468,23.507,23.545,23.558,23.558,23.545,23.558,23.57,23.596,23.634,23.647,23.647,23.66,23.685,23.698,23.723,23.749,23.749,23.762,23.762,23.762,23.774,23.787,23.8,23.812,23.825,23.838,23.838,23.851,23.851,23.851,23.851,23.825,23.812,23.812,23.825,23.838,23.851,23.851,23.838,23.825,23.812,23.8,23.8
Frame 34,25.731,25.518,25.342,25.066,24.839,24.675,24.498,24.27,24.143,23.978,23.876,23.812,23.723,23.66,23.609,23.558,23.532,23.494,23.468,23.404,23.379,23.366,23.353,23.353,23.366,23.366,23.379,23.404,23.404,23.404,23.404,23.43,23.455,23.494,23.519,23.532,23.532,23.532,23.532,23.558,23.583,23.596,23.596,23.609,23.634,23.647,23.672,23.698,23.711,23.723,23.723,23.723,23.736,23.736,23.749,23.774,23.774,23.787,23.8,23.812,23.812,23.825,23.812,23.812,23.8,23.787,23.787,23.8,23.8,23.812,23.8,23.787,23.787,23.787,23.762,23.762
Frame 35,25.768,25.556,25.367,25.066,24.839,24.687,24.523,24.27,24.143,24.016,23.902,23.851,23.762,23.672,23.621,23.57,23.545,23.519,23.494,23.443,23.417,23.404,23.404,23.392,23.392,23.392,23.404,23.43,23.43,23.417,23.417,23.43,23.455,23.507,23.532,23.545,23.532,23.532,23.545,23.57,23.596,23.609,23.621,23.634,23.647,23.66,23.685,23.711,23.736,23.749,23.749,23.749,23.762,23.762,23.762,23.774,23.774,23.8,23.812,23.825,23.838,23.851,23.851,23.838,23.812,23.787,23.787,23.8,23.812,23.825,23.812,23.812,23.8,23.787,23.774,23.774
Frame 36,25.781,25.543,25.342,25.078,24.877,24.687,24.51,24.321,24.194,24.041,23.94,23.838,23.749,23.672,23.609,23.545,23.519,23.494,23.455,23.404,23.379,23.353,23.34,23.353,23.366,23.366,23.404,23.43,23.417,23.404,23.404,23.404,23.417,23.455,23.494,23.507,23.494,23.481,23.494,23.519,23.545,23.57,23.57,23.596,23.609,23.634,23.66,23.685,23.711,23.723,23.736,23.749,23.749,23.749,23.749,23.762,23.762,23.762,23.774,23.787,23.8,23.8,23.787,23.8,23.787,23.774,23.774,23.787,23.787,23.8,23.8,23.787,23.774,23.762,23.762,23.774
Frame 37,25.793,25.581,25.405,25.154,24.927,24.776,24.574,24.333,24.194,24.067,23.952,23.876,23.774,23.685,23.621,23.558,23.519,23.494,23.468,23.417,23.392,23.366,23.366,23.366,23.392,23.404,23.43,23.443,23.43,23.417,23.404,23.417,23.455,23.494,23.519,23.532,23.532,23.519,23.519,23.545,23.57,23.596,23.609,23.634,23.647,23.66,23.685,23.711,23.711,23.723,23.736,23.762,23.774,23.774,23.774,23.787,23.774,23.787,23.8,23.8,23.8,23.8,23.8,23.812,23.812,23.787,23.8,23.812,23.812,23.825,23.812,23.812,23.8,23.8,23.774,23.787
Frame 38,25.856,25.631,25.443,25.166,24.927,24.788,24.624,24.371,24.219,24.067,23.965,23.889,23.8,23.711,23.634,23.583,23.545,23.494,23.468,23.417,23.392,23.353,23.379,23.379,23.404,23.404,23.417,23.43,23.43,23.43,23.43,23.43,23.468,23.507,23.545,23.545,23.545,23.545,23.545,23.57,23.596,23.609,23.621,23.634,23.647,23.66,23.685,23.698,23.723,23.736,23.736,23.749,23.762,23.774,23.787,23.8,23.8,23.8,23.812,23.812,23.825,23.825,23.825,23.825,23.812,23.812,23.812,23.825,23.825,23.825,23.812,23.8,23.787,23.787,23.787,23.8
